Date,Long,Short,LongShort
2006-02-28,-0.00747091800375415,-0.007487801837275449,1.688383352129938e-05
2006-03-31,0.014128527159703724,0.0070618135008571,0.0070667136588466245
2006-04-30,0.005490065506588874,0.026235588573739928,-0.020745523067151054
2006-05-31,-0.0042295628932157,0.016618568999097624,-0.020848131892313326
2006-06-30,0.02640376118951155,-0.01034401319534035,0.0367477743848519
2006-07-31,-0.0034313484363428,-0.005338897829935275,0.0019075493935924747
2006-08-31,-0.00388194569064965,0.0012761395455681245,-0.005158085236217774
2006-09-30,0.002071750873055925,-0.01990155959264455,0.021973310465700474
2006-10-31,-0.019441274208939,0.008780371160705852,-0.028221645369644853
2006-11-30,-0.0036265698167003,0.020411755287415977,-0.024038325104116277
2006-12-31,-0.00176867407460555,-0.013871837728457424,0.012103163653851874
2007-01-31,0.013148727103667249,-0.00083858137648345,0.013987308480150699
2007-02-28,-0.0096442723752625,0.012064400343814775,-0.021708672719077275
2007-03-31,-0.008857303625666623,-0.005409023286466601,-0.003448280339200022
2007-04-30,-0.007063137600442374,0.015128322040547251,-0.022191459640989626
2007-05-31,0.0033945010797338747,-0.008311311449613376,0.011705812529347251
2007-06-30,0.0037402297664593,0.004271581047304801,-0.0005313512808455007
2007-07-31,-0.003676077749991225,0.012925858874149475,-0.016601936624140702
2007-08-31,-7.355206825122472e-05,-0.0069847563942548,0.0069112043260035755
2007-09-30,-0.0380941376254701,0.05714128865612993,-0.09523542628160003
2007-10-31,-0.02220941231686613,0.008419413544532949,-0.030628825861399075
2007-11-30,-0.0192941523875485,0.0001830166179420476,-0.019477169005490548
2007-12-31,-0.007494583056026071,0.0041033218079413,-0.01159790486396737
2008-01-31,0.01061123880892245,0.00011216807425799965,0.01049907073466445
2008-02-29,-0.028472912586952174,0.0315938359780961,-0.060066748565048275
2008-03-31,-0.027762833289104526,0.035276546283453225,-0.06303937957255776
2008-04-30,-0.010134444147028824,-0.007753401139001125,-0.0023810430080276994
2008-05-31,-0.0175748594859578,-0.00478538758659605,-0.01278947189936175
2008-06-30,-0.00714036931939645,-0.011014784498076477,0.0038744151786800273
2008-07-31,-0.0142827050239293,-0.0029114814005245246,-0.011371223623404775
2008-08-31,0.00885974138839185,-0.02131290338719837,0.030172644775590222
2008-09-30,-0.038575559747853594,0.018554073801424275,-0.05712963354927787
2008-10-31,-0.11479223634652136,0.09001744294525083,-0.20480967929177218
2008-11-30,-0.032389012598998554,0.026158495279960503,-0.05854750787895906
2008-12-31,0.02203302377624205,0.0018027317446091262,0.020230292031632922
2009-01-31,-0.03737333774450985,0.09627663401107729,-0.13364997175558713
2009-02-28,-0.031161072439506148,0.020764692270576073,-0.05192576471008222
2009-03-31,0.04516118614223075,-0.026106391250981048,0.0712675773932118
2009-04-30,0.008800130130620677,-0.0229498634378979,0.03174999356851858
2009-05-31,0.0348576083105252,0.0002595333435063754,0.034598074967018826
2009-06-30,-0.010835120635655074,-0.01790565370582355,0.007070533070168476
2009-07-31,0.011960714797397451,-0.009959165162949275,0.021919879960346726
2009-08-31,0.0021364506703605997,0.00029610022093657425,0.0018403504494240255
2009-09-30,0.01697666806587282,-0.00953744704554665,0.026514115111419472
2009-10-31,0.005354912808455225,0.019122687941292748,-0.013767775132837522
2009-11-30,0.018135167395363475,-0.025302888625116177,0.04343805602047965
2009-12-31,-0.029420302952070227,0.023206616731283148,-0.052626919683353375
2010-01-31,-0.0309529999932556,0.020357338700503873,-0.05131033869375948
2010-02-28,0.011065566849296125,-0.017474638716176976,0.0285402055654731
2010-03-31,-0.008765453788236201,-0.00244632318621005,-0.006319130602026152
2010-04-30,0.0162780213405539,-0.0011797379042535246,0.017457759244807428
2010-05-31,0.04951451590827491,-0.07006149014771884,0.11957600605599375
2010-06-30,0.021286287835564424,0.0191407916730805,0.002145496162483926
2010-07-31,0.054732198321165174,-0.046677491811078026,0.1014096901322432
2010-08-31,-0.004373371664665674,0.0052313213294859235,-0.009604692994151598
2010-09-30,-0.009856529369919199,0.022374889356125003,-0.0322314187260442
2010-10-31,-0.010293266417495102,-0.005389651629061951,-0.004903614788433151
2010-11-30,0.02928863175224755,-0.01117913674172015,0.0404677684939677
2010-12-31,-0.02287501764437905,0.042220626797437905,-0.06509564444181695
2011-01-31,-0.020966702140840652,0.008520823048990076,-0.029487525189830728
2011-02-28,0.015183502112370077,0.0031564145114814004,0.012027087600888676
2011-03-31,-0.0008224121655693497,-0.00622136064281845,0.0053989484772491
2011-04-30,0.0207148179379993,-0.006123528616603551,0.02683834655460285
2011-05-31,-0.0135129914803238,0.028907881588681773,-0.04242087306900558
2011-06-30,-0.00166904153644655,-0.01145155469970275,0.0097825131632562
2011-07-31,0.0004855035673660751,0.020055906452009373,-0.019570402884643297
2011-08-31,-0.00033429677450877524,0.0019235179339540493,-0.0022578147084628243
2011-09-30,-0.025370307780439902,0.025059484632922298,-0.0504297924133622
2011-10-31,0.05246645539475672,-0.01824525540828775,0.07071171080304448
2011-11-30,-0.05789698420063485,0.05034787958194795,-0.1082448637825828
2011-12-31,-0.01855670869886465,0.01192605593398665,-0.030482764632851298
2012-01-31,0.023682147329307526,-0.032403708265754776,0.0560858555950623
2012-02-29,0.0305719642756904,-0.0287080828504158,0.0592800471261062
2012-03-31,-0.018254219757581052,0.015066214203173651,-0.0333204339607547
2012-04-30,0.0009611522078726005,-0.002431107063370877,0.0033922592712434777
2012-05-31,-0.06135045906331802,0.06655962084536865,-0.12791007990868666
2012-06-30,0.01080900670035395,-0.018236295117485247,0.029045301817839195
