,Coefficient,Std. Error,t-statistic,p-value,CI low,CI high
const,6.3e-05,6.6e-05,0.950308,0.342971,-6.7e-05,0.000192
0,-0.086,0.04028,-2.135037,0.033834,-0.165372,-0.006627
R-squared,0.01977105486443642,,,,,
Adj. R-squared,0.015433758647022566,,,,,
F-statistic,4.558382428448583,,,,,
AIC,-2503.897831902373,,,,,
BIC,-2497.039140644464,,,,,
Observations,228.0,,,,,
