,Coefficient,Std. Error,t-statistic,p-value,CI low,CI high
const,0.000197,0.001298,0.151859,0.879435,-0.002361,0.002755
0,-0.013668,0.029632,-0.461257,0.64506,-0.07206,0.044724
R-squared,0.0009446993436249551,,,,,
Adj. R-squared,-0.003495546437070063,,,,,
F-statistic,0.21275834498448024,,,,,
AIC,-1141.1599966901722,,,,,
BIC,-1134.3100966552095,,,,,
Observations,227.0,,,,,
