Date,CH,DE,ES,FR,IT,NL,UK
2005-02-28,,,,,,,
2005-03-31,,,,,,,
2005-04-30,,,,,,,
2005-05-31,,,,,,,
2005-06-30,,,,,,,
2005-07-31,,,,,,,
2005-08-31,,,,,,,
2005-09-30,,,,,,,
2005-10-31,,,,,,,
2005-11-30,,,,,,,
2005-12-31,,,,,,,
2006-01-31,-0.25473245809254247,-0.5802906659524514,0.28040109693392157,-0.9264666396385984,-1.3364610099061398,-0.9476323191607487,-0.9564566069591655
2006-02-28,-0.05981988738986467,-0.5714875791638017,0.07405015286843195,-0.7632656395885076,-1.398575348698338,-0.8352511580392055,-0.7395726414904584
2006-03-31,-0.16282923087424034,-0.840823809982217,-0.024101116705565515,-0.9761645415791316,-1.3307024241120062,-1.1539601020613381,-1.2266104652730474
2006-04-30,-0.03594944958163266,-0.6764284190320137,0.09061229358732624,-0.9365071286660929,-1.6441003417655158,-0.6207656495348189,-1.613271908265866
2006-05-31,-0.9616404103579864,-0.9065020796011789,-0.008334196600378667,-0.8001526825282079,-1.0575184955520562,-0.9735571466060545,-1.4600714424609973
2006-06-30,-0.8163819870688734,-0.6458599740293774,0.13227068485075008,-0.6446408277726554,-0.8780844778173327,-0.7974843167247941,-1.4470333980187513
2006-07-31,-0.959032675523698,-0.5683632474604843,0.21125328842609348,-0.5676398527651146,-0.7622350777945275,-0.7980244631394097,-1.4579760878279993
2006-08-31,-1.4005941696471145,-0.9347305077281212,-0.06768617047616866,-0.9240187808132961,-1.0111959607593721,-1.2025845166701914,-1.3576126597807794
2006-09-30,-1.838355035795376,-0.9188773023046526,-0.44498678508807793,-0.912370951074798,-0.9636897745774112,-1.197958368479171,-1.3680990672007125
2006-10-31,-1.808981950488351,-1.415883993501355,-0.6523647205026215,-1.3769371351257573,-0.807910170469631,-1.521821831128932,-2.0471142547876364
2006-11-30,-1.8592552447948054,-1.3740360929580973,-0.6611849107155379,-1.0242202832928946,-0.7935462034258245,-1.5728185608853367,-1.521523268729406
2006-12-31,-1.7674306970194191,-1.3221685613147414,-0.7108442809579768,-0.9744509526665691,-1.244098675283991,-1.6702626462995036,-1.676097585824046
2007-01-31,-1.6479405279321038,-1.5148513352853474,-0.668449586045191,-1.1583639432239308,-1.2309044852659576,-1.6088479367118476,-1.4495756174930887
2007-02-28,-1.1386928363926818,-1.1074189831247032,-0.3334095374826727,-0.8143765105338236,-0.7696938135503125,-1.1677135855549399,-1.2775158635950425
2007-03-31,-1.1656574293467865,-1.1074244388703915,-0.4987351516798694,-1.1102108513422806,-0.8602264173208239,-1.0373282130325827,-1.3912583957339382
2007-04-30,-1.1902065149921295,-0.6549743714637821,-0.3762146096282325,-0.7081749342105302,-0.7879059965165444,-1.1633093154237448,-1.4097809591331674
2007-05-31,-1.0780990406735032,0.14725591691211415,-0.06710506040229319,0.31411058837621597,-0.4293403432234886,-0.6418221876878174,-0.5259348086777943
2007-06-30,-0.8514626827151766,0.13480070320124835,-0.10750650688557521,0.28042984844887586,-0.48523185746183717,-0.8532972839091859,-0.17026251272885445
2007-07-31,-0.4762681106061217,-1.0123317191441739,0.10118121154056287,-0.6896028398206855,-0.5342725460852691,-0.5419701490348227,-0.6914957570584773
2007-08-31,-0.24002647645044614,-0.7868347265534258,0.33395983693069947,-0.30480508603582934,-0.3319884446008193,-0.1587700645074361,-0.6185528590148738
2007-09-30,-0.06171295917726284,-0.8230425427732038,0.6019352318824799,-0.2368903130790992,-0.10350408458745809,-0.1560273452356576,-0.6929812811077825
2007-10-31,0.007315693919090089,-0.6813568315033448,0.971817759510114,-0.26667378211651754,-0.052104607374746655,-0.2330504024540291,-0.5085986527441957
2007-11-30,0.0611823570626614,-0.5221244354811263,1.0388412158406914,-0.1644561973085615,0.2186373509317992,-1.0980443086587794,-0.6966450818747818
2007-12-31,0.37083570085509293,-0.4348335943666456,1.1135196379404695,0.12486686433943893,0.5334252594254414,-1.121864930178796,-0.5712969292912183
2008-01-31,-0.5507982493426065,-1.6869678052612982,-0.3569164855402974,-1.4244892378385194,-1.0321824063666727,-1.6345835841440939,-1.185820035427373
2008-02-29,-0.7179724058376906,-1.658252597005025,-0.4495357562854905,-1.4255813129174084,-1.0825038970513012,-1.7809286844338235,-1.2310792984017118
2008-03-31,-0.3843518613008909,-1.3735041510241695,-0.380694848609981,-1.3097455618184572,-0.6704483435889766,-1.798091326181541,-0.8935826021049729
2008-04-30,-0.621401089084952,-1.4586069652632296,-0.6007391006760519,-1.2301572516999324,0.03499270684993232,-1.3301624356482533,-0.3421018872286608
2008-05-31,-0.6050155949127438,-1.6994986366891314,-0.5562366198967504,-1.2417198943340957,0.07577121656985338,-1.332755640976935,-0.18035029178199197
2008-06-30,-0.4064888232518754,-1.1058491844381553,-0.5297936735609811,-0.8465874735857583,-0.11100096766144944,-0.854154150616401,0.008703544095727224
2008-07-31,-0.6067603321081945,-1.4308669780170828,-0.4933708009976716,-1.0820287420560706,-0.14884144832500013,-0.6795956082239164,0.01102760104927454
2008-08-31,-0.6378773460334297,-1.3728807143029722,-0.5301272247934736,-1.156648197855457,-0.1898586493606083,-0.8077528478065098,-0.15103740271145777
2008-09-30,-0.2676307918366206,-0.8830830350102941,-0.21839365260716684,-0.6816259061962563,0.037351701889498844,-0.726423005049043,-0.31069035550075397
2008-10-31,0.11071968866375168,-0.5278045210930571,-0.9418283068921646,-0.34721388914087536,0.016610907191255204,-0.3897691733018819,0.015960687570810494
